 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
1536.0 1536.0  0.0   704.0  24576.0   5032.8   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0   6508.4   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0   8387.6   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0  11187.3   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0  12681.2   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0  14169.9   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0  15474.5   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0  17296.2   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0  18762.2   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0  20304.6   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0  21843.5   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0  0.0   704.0  24576.0  23393.7   88576.0    56515.9   46080.0 42645.0 7168.0 6144.0    113    0.351   5      0.321    0.672
1536.0 1536.0 768.4   0.0   24576.0   385.5    88576.0    56531.9   46080.0 42645.0 7168.0 6144.0    114    0.353   5      0.321    0.674
1536.0 1536.0 768.4   0.0   24576.0   2070.0   88576.0    56531.9   46080.0 42645.0 7168.0 6144.0    114    0.353   5      0.321    0.674
1536.0 1536.0 768.4   0.0   24576.0   3606.3   88576.0    56531.9   46080.0 42645.0 7168.0 6144.0    114    0.353   5      0.321    0.674
1536.0 1536.0 768.4   0.0   24576.0   5085.8   88576.0    56531.9   46080.0 42645.0 7168.0 6144.0    114    0.353   5      0.321    0.674
1536.0 1536.0 768.4   0.0   24576.0   6948.1   88576.0    56531.9   46080.0 42645.0 7168.0 6144.0    114    0.353   5      0.321    0.674
1536.0 1536.0 768.4   0.0   24576.0   8397.3   88576.0    56531.9   46080.0 42645.0 7168.0 6144.0    114    0.353   5      0.321    0.674
1536.0 1536.0 768.4   0.0   24576.0   9682.9   88576.0    56531.9   46080.0 42645.0 7168.0 6144.0    114    0.353   5      0.321    0.674
1536.0 1536.0 768.4   0.0   24576.0  11246.2   88576.0    56531.9   46080.0 42645.0 7168.0 6144.0    114    0.353   5      0.321    0.674
